Average dist from rmsd value,Maximum dist from rmsd value,Lowest affinity value,Average best mode rmsd value,Result seed,Result number
3.171,5.153,-5.6,5.36087,610929792,1
3.3925,5.378,-5.6,5.52588,-951545732,2
